Theta,Distance,Z
29.5228,25.4834,0.0
33.9722,29.5108,0.0
28.6092,25.0102,0.0
28.5349,25.095,0.0
37.442,33.1375,0.0
33.6039,29.9295,0.0
35.7493,32.031,0.0
36.3912,32.8128,0.0
35.5474,32.255,0.0
38.4058,35.057,0.0
39.0319,35.854,0.0
38.1848,35.2976,0.0
54.1906,50.3923,0.0
210.2867,196.7828,0.0
221.3157,208.4115,0.0
218.5184,207.0041,0.0
217.867,207.6896,0.0
220.1,211.1421,0.0
219.4726,211.7942,0.0
217.3713,211.0893,0.0
218.1375,213.169,0.0
217.5041,213.8153,0.0
218.2531,215.9041,0.0
217.5738,216.5887,0.0
215.517,215.8181,0.0
218.3598,220.0432,0.0
215.561,218.592,0.0
216.3115,220.6588,0.0
218.4084,224.2025,0.0
214.2253,221.2951,0.0
213.5678,221.9297,0.0
213.5606,223.3223,0.0
213.5469,224.717,0.0
212.1925,224.6227,0.0
214.9078,228.9337,0.0
213.5054,228.8764,0.0
212.8254,229.5089,0.0
212.781,230.9118,0.0
212.7298,232.3166,0.0
210.6933,231.4678,0.0
214.6608,237.3199,0.0
210.5718,234.2745,0.0
209.2095,234.1525,0.0
209.8007,236.3042,0.0
211.042,239.2118,0.0
209.672,239.0851,0.0
210.2338,241.2504,0.0
208.8202,241.1537,0.0
208.7562,242.5301,0.0
208.6432,243.9447,0.0
207.8758,244.599,0.0
206.5038,244.4508,0.0
208.3065,248.162,0.0
206.8853,248.0473,0.0
209.9778,253.2791,0.0
204.7304,248.5346,0.0
204.582,249.9504,0.0
205.1017,252.1077,0.0
199.9081,247.307,0.0
203.5136,253.3914,0.0
189.0355,236.8007,0.0
187.0478,235.8265,0.0
180.1165,228.5587,0.0
183.7539,234.6029,0.0
183.6301,235.9682,0.0
189.6162,245.2462,0.0
181.5759,236.2926,0.0
188.7214,247.1948,0.0
184.3179,243.006,0.0
182.9941,242.7533,0.0
351.8729,469.8451,0.0
182.6591,245.5028,0.0
47.5634,64.3252,0.0
169.3158,230.4955,0.0
36.5477,50.0826,0.0
36.3989,50.1908,0.0
38.5792,53.5504,0.0
32.5909,45.5393,0.0
35.9331,50.5254,0.0
32.3121,45.7376,0.0
35.6149,50.7502,0.0
32.0322,45.9341,0.0
34.1654,49.3227,0.0
35.1439,51.0774,0.0
34.9922,51.1815,0.0
30.8987,45.5002,0.0
34.67,51.4003,0.0
31.1769,46.5188,0.0
32.693,49.1138,0.0
34.193,51.7188,0.0
31.2943,47.641,0.0
32.2373,49.4142,0.0
31.5381,48.6759,0.0
33.5586,52.1327,0.0
32.3174,50.5528,0.0
31.6225,49.8098,0.0
29.3407,46.5202,0.0
31.8484,50.8496,0.0
27.9915,45.0053,0.0
29.4347,47.6403,0.0
28.762,46.8802,0.0
28.6146,46.9703,0.0
27.9573,46.1994,0.0
29.8722,49.7157,0.0
27.1542,45.5154,0.0
28.0386,47.3164,0.0
27.8898,47.4042,0.0
28.2451,48.3551,0.0
25.5924,44.1138,0.0
27.4501,47.6602,0.0
26.8039,46.8781,0.0
27.1585,47.827,0.0
27.4991,48.7832,0.0
26.3691,47.124,0.0
27.6863,49.8244,0.0
26.5637,48.1598,0.0
27.3727,49.9973,0.0
27.7019,50.9569,0.0
26.1171,48.4035,0.0
26.9091,50.2484,0.0
23.943,45.0303,0.0
26.1349,49.5274,0.0
23.6596,45.1799,0.0
24.9093,47.9116,0.0
25.6757,49.767,0.0
25.0635,48.9573,0.0
24.012,47.2485,0.0
24.3137,48.2166,0.0
25.0658,50.077,0.0
24.4635,49.2599,0.0
22.5408,45.7484,0.0
23.7229,48.5101,0.0
23.5703,48.5844,0.0
22.9839,47.7571,0.0
22.4111,46.9227,0.0
23.1199,48.8003,0.0
23.8171,50.6828,0.0
19.0178,40.7839,0.0
18.8896,40.8434,0.0
22.0965,48.1741,0.0
22.7819,50.0598,0.0
20.9791,46.4852,0.0
21.2415,47.4637,0.0
21.1005,47.5265,0.0
20.1453,45.7621,0.0
21.2015,48.5746,0.0
20.66,47.7196,0.0
19.3267,45.0275,0.0
19.9682,46.9283,0.0
19.4401,46.0661,0.0
18.9094,45.2044,0.0
19.5333,47.111,0.0
19.0132,46.2439,0.0
17.7357,43.5252,0.0
19.4711,48.217,0.0
19.6997,49.2029,0.0
18.8075,47.4055,0.0
19.0243,48.395,0.0
19.2437,49.383,0.0
18.3681,47.5774,0.0
18.5758,48.5689,0.0
18.4316,48.6238,0.0
17.9273,47.7453,0.0
17.7772,47.8014,0.0
17.6353,47.8539,0.0
16.7992,46.0303,0.0
18.014,49.8447,0.0
16.5177,46.1321,0.0
15.0361,42.4136,0.0
15.8963,45.2914,0.0
16.4186,47.2274,0.0
17.2464,50.1155,0.0
17.0888,50.1694,0.0
16.3007,48.3248,0.0
17.0987,51.2214,0.0
15.9967,48.4263,0.0
16.7855,51.3249,0.0
15.3927,47.5717,0.0
15.8529,49.5246,0.0
17.2161,54.3379,0.0
16.1482,51.529,0.0
15.6902,50.6243,0.0
15.8331,51.6267,0.0
15.3807,50.7192,0.0
15.2212,50.7672,0.0
15.0706,50.8122,0.0
