Theta,Distance,Z
52.99,1.00,0
53.17,9723.00,0
53.35,1.00,0
53.52,10387.00,0
53.70,1.00,0
53.88,10316.00,0
54.05,1.00,0
54.23,1.00,0
54.41,10204.00,0
54.58,1.00,0
54.76,1.00,0
54.94,1.00,0
55.11,10109.00,0
55.29,1.00,0
55.47,10195.00,0
55.64,1.00,0
55.82,1.00,0
56.00,10190.00,0
56.17,10203.00,0
56.35,1.00,0
56.53,1.00,0
56.70,10332.00,0
56.88,1.00,0
57.06,1.00,0
57.23,1.00,0
57.41,1.00,0
57.59,1.00,0
57.76,1.00,0
57.94,1.00,0
58.12,1.00,0
58.29,226.00,0
58.47,1.00,0
58.65,1.00,0
58.82,218.00,0
59.00,212.00,0
59.18,1.00,0
59.35,1.00,0
59.53,223.00,0
59.71,218.00,0
59.88,1.00,0
60.06,1.00,0
60.24,208.00,0
60.41,205.00,0
60.59,211.00,0
60.77,214.00,0
60.94,212.00,0
61.12,223.00,0
61.30,213.00,0
61.47,225.00,0
61.65,210.00,0
61.83,223.00,0
62.00,214.00,0
62.18,217.00,0
62.36,224.00,0
62.53,219.00,0
62.71,225.00,0
62.89,226.00,0
63.06,223.00,0
63.24,215.00,0
63.41,223.00,0
63.59,222.00,0
63.77,219.00,0
63.94,222.00,0
64.12,221.00,0
64.30,216.00,0
64.47,213.00,0
64.65,218.00,0
64.83,219.00,0
65.00,216.00,0
65.18,224.00,0
65.36,219.00,0
65.53,218.00,0
65.71,218.00,0
65.89,211.00,0
66.06,211.00,0
66.24,211.00,0
66.42,211.00,0
66.59,213.00,0
66.77,212.00,0
66.95,213.00,0
67.12,212.00,0
67.30,210.00,0
67.48,211.00,0
67.65,209.00,0
67.83,210.00,0
68.01,209.00,0
68.18,212.00,0
68.36,211.00,0
68.54,212.00,0
68.71,213.00,0
68.89,211.00,0
69.07,215.00,0
69.24,209.00,0
69.42,212.00,0
69.60,211.00,0
69.77,210.00,0
69.95,212.00,0
70.13,214.00,0
70.30,212.00,0
70.48,214.00,0
70.66,215.00,0
70.83,212.00,0
71.01,209.00,0
71.19,210.00,0
71.36,212.00,0
71.54,211.00,0
71.72,215.00,0
71.89,208.00,0
72.07,210.00,0
72.25,211.00,0
72.42,211.00,0
72.60,210.00,0
72.78,212.00,0
72.95,211.00,0
73.13,214.00,0
73.31,217.00,0
73.48,211.00,0
73.66,210.00,0
73.84,212.00,0
74.01,211.00,0
74.19,211.00,0
74.37,213.00,0
74.54,210.00,0
74.72,211.00,0
74.90,211.00,0
75.07,210.00,0
75.25,212.00,0
75.43,214.00,0
75.60,214.00,0
75.78,210.00,0
75.96,216.00,0
76.13,211.00,0
76.31,214.00,0
76.49,213.00,0
76.66,215.00,0
76.84,214.00,0
77.02,212.00,0
77.19,211.00,0
77.37,214.00,0
77.55,216.00,0
77.72,213.00,0
77.90,213.00,0
78.08,213.00,0
78.25,214.00,0
78.43,212.00,0
78.61,213.00,0
78.78,213.00,0
78.96,213.00,0
79.14,216.00,0
79.31,213.00,0
79.49,213.00,0
79.67,214.00,0
79.84,212.00,0
80.02,214.00,0
80.20,214.00,0
80.37,211.00,0
80.55,213.00,0
80.73,212.00,0
80.90,215.00,0
81.08,214.00,0
81.26,213.00,0
81.43,212.00,0
81.61,216.00,0
81.79,215.00,0
81.96,212.00,0
82.14,211.00,0
82.32,217.00,0
82.49,211.00,0
82.67,213.00,0
82.85,214.00,0
83.02,209.00,0
83.20,206.00,0
83.38,208.00,0
83.55,204.00,0
83.73,210.00,0
83.91,213.00,0
84.08,213.00,0
84.26,212.00,0
84.44,213.00,0
84.61,207.00,0
84.79,207.00,0
84.97,210.00,0
85.14,216.00,0
85.32,196.00,0
85.50,191.00,0
85.67,201.00,0
85.85,198.00,0
86.03,1.00,0
86.20,1.00,0
86.38,1.00,0
86.56,1.00,0
86.73,1.00,0
86.91,1.00,0
87.09,1.00,0
87.26,1.00,0
87.44,10207.00,0
87.62,8691.00,0
87.79,229.00,0
87.97,211.00,0
88.15,221.00,0
88.32,1.00,0
88.50,1.00,0
88.67,211.00,0
88.85,235.00,0
89.03,215.00,0
89.20,218.00,0
89.38,223.00,0
89.56,229.00,0
89.73,227.00,0
89.91,218.00,0
90.09,230.00,0
90.26,218.00,0
90.44,230.00,0
90.62,226.00,0
90.79,232.00,0
90.97,227.00,0
91.15,229.00,0
91.32,221.00,0
91.50,235.00,0
91.68,230.00,0
91.85,228.00,0
92.03,223.00,0
92.21,227.00,0
92.38,232.00,0
92.56,228.00,0
92.74,225.00,0
92.91,228.00,0
93.09,230.00,0
93.27,222.00,0
93.44,226.00,0
93.62,231.00,0
93.80,227.00,0
93.97,228.00,0
94.15,225.00,0
94.33,235.00,0
94.50,231.00,0
94.68,229.00,0
94.86,228.00,0
95.03,229.00,0
95.21,232.00,0
95.39,226.00,0
95.56,231.00,0
95.74,226.00,0
95.92,225.00,0
96.09,229.00,0
96.27,229.00,0
96.45,237.00,0
96.62,221.00,0
96.80,227.00,0
96.98,234.00,0
97.15,226.00,0
97.33,236.00,0
97.51,233.00,0
97.68,228.00,0
97.86,237.00,0
98.04,229.00,0
98.21,1.00,0
98.39,226.00,0
98.57,234.00,0
98.74,217.00,0
98.92,227.00,0
99.10,214.00,0
99.27,222.00,0
99.45,1.00,0
99.63,222.00,0
99.80,225.00,0
99.98,246.00,0
100.16,210.00,0
100.33,1.00,0
100.51,242.00,0
100.69,245.00,0
100.86,222.00,0
101.04,1.00,0
101.22,240.00,0
101.39,1.00,0
101.57,1.00,0
101.75,233.00,0
101.92,1.00,0
102.10,1.00,0
102.28,1.00,0
102.45,1.00,0
102.63,1.00,0
102.81,1.00,0
102.98,1.00,0
103.16,10306.00,0
103.34,1.00,0
103.51,9889.00,0
103.69,1.00,0
103.87,1.00,0
104.04,9679.00,0
104.22,1.00,0
104.40,1.00,0
104.57,1.00,0
104.75,1.00,0
104.93,9366.00,0
105.10,9848.00,0
105.28,8557.00,0
105.46,9834.00,0
105.63,1.00,0
105.81,1.00,0
105.99,10341.00,0
106.16,10081.00,0
106.34,1.00,0
106.52,9086.00,0
106.69,9381.00,0
106.87,1.00,0
107.05,10280.00,0
107.22,10114.00,0
107.40,1.00,0
107.58,10325.00,0
107.75,1.00,0
107.93,10080.00,0
108.11,9831.00,0
108.28,10058.00,0
108.46,10086.00,0
108.64,10278.00,0
108.81,10093.00,0
108.99,9657.00,0
109.17,1.00,0
109.34,9641.00,0
109.52,10199.00,0
109.70,10157.00,0
109.87,1.00,0
110.05,10143.00,0
110.23,9738.00,0
110.40,9915.00,0
110.58,1.00,0
110.76,10204.00,0
110.93,1.00,0
111.11,1.00,0
111.29,9591.00,0
111.46,1.00,0
111.64,9961.00,0
111.82,10381.00,0
111.99,9688.00,0
112.17,1.00,0
112.35,1.00,0
112.52,9665.00,0
112.70,9918.00,0
112.88,9863.00,0
113.05,10121.00,0
113.23,1.00,0
113.41,10150.00,0
113.58,9977.00,0
113.76,1.00,0
113.93,1.00,0
114.11,9861.00,0
114.29,9827.00,0
114.46,1.00,0
114.64,10076.00,0
114.82,9487.00,0
114.99,1.00,0
115.17,1.00,0
115.35,1.00,0
115.52,10307.00,0
115.70,9242.00,0
115.88,9415.00,0
116.05,1.00,0
116.23,9962.00,0
116.41,9608.00,0
116.58,1.00,0
116.76,10074.00,0
116.94,1.00,0
117.11,9841.00,0
117.29,1.00,0
117.47,10094.00,0
117.64,9921.00,0
117.82,9847.00,0
118.00,1.00,0
118.17,1.00,0
118.35,1.00,0
118.53,10344.00,0
118.70,1.00,0
118.88,9842.00,0
119.06,9607.00,0
119.23,1.00,0
119.41,1.00,0
119.59,1.00,0
119.76,8894.00,0
119.94,9605.00,0
120.12,1.00,0
120.29,1.00,0
120.47,9141.00,0
120.65,9389.00,0
120.82,1.00,0
121.00,9465.00,0
121.18,1.00,0
121.35,10161.00,0
121.53,9669.00,0
121.71,9419.00,0
121.88,9122.00,0
122.06,1.00,0
122.24,9898.00,0
122.41,10069.00,0
122.59,1.00,0
122.77,9634.00,0
122.94,10208.00,0
123.12,10372.00,0
123.30,1.00,0
123.47,10387.00,0
123.65,9583.00,0
123.83,1.00,0
124.00,10101.00,0
124.18,10180.00,0
124.36,8614.00,0
124.53,1.00,0
124.71,1.00,0
124.89,9687.00,0
125.06,1.00,0
125.24,1.00,0
125.42,1.00,0
125.59,10139.00,0
125.77,9987.00,0
125.95,1.00,0
126.12,10337.00,0
126.30,10093.00,0
126.48,10162.00,0
126.65,10177.00,0
126.83,9961.00,0
127.01,9582.00,0
127.18,10165.00,0
127.36,1.00,0
127.54,1.00,0
127.71,9671.00,0
127.89,1.00,0
128.07,10325.00,0
128.24,1.00,0
128.42,9869.00,0
128.60,1.00,0
128.77,1.00,0
128.95,1.00,0
129.13,9948.00,0
129.30,1.00,0
129.48,1.00,0
129.66,1.00,0
129.83,9372.00,0
130.01,1.00,0
130.19,10275.00,0
