X,Y,Z
52.6535,116.6688,0.0
52.2867,116.8337,0.0
55.9976,126.128,0.0
14.1017,32.0334,0.0
54.0039,123.7278,0.0
44.8958,103.6984,0.0
51.275,119.4608,0.0
46.5926,109.4995,0.0
47.8227,113.3225,0.0
52.4832,125.4652,0.0
55.1529,133.0194,0.0
13.3092,32.3707,0.0
40.7544,100.0154,0.0
46.0567,114.0517,0.0
43.488,108.6177,0.0
43.5153,109.6833,0.0
12.8048,32.5736,0.0
42.4814,109.0153,0.0
41.7785,108.2153,0.0
47.5112,124.2243,0.0
12.4059,32.7276,0.0
34.4485,91.7459,0.0
42.1772,113.4111,0.0
31.8126,86.3247,0.0
43.5407,119.303,0.0
11.8961,32.9163,0.0
37.4176,104.5032,0.0
43.4377,122.5282,0.0
33.7797,96.2441,0.0
27.2549,78.3975,0.0
42.6278,123.8704,0.0
29.9861,88.0331,0.0
47.9431,142.1318,0.0
11.0825,33.1991,0.0
10.9781,33.2337,0.0
29.2192,89.3434,0.0
40.329,124.6378,0.0
10.6703,33.3339,0.0
27.7874,87.7032,0.0
30.2031,96.3783,0.0
10.3615,33.4311,0.0
28.441,92.7368,0.0
10.157,33.4938,0.0
31.0169,103.4502,0.0
32.9846,111.2116,0.0
25.6016,87.3244,0.0
26.7188,92.2069,0.0
25.8941,90.3631,0.0
24.5203,86.5953,0.0
28.0201,100.1542,0.0
25.8569,93.4902,0.0
28.4619,104.1821,0.0
17.4538,64.6867,0.0
28.5979,107.2528,0.0
8.9111,33.8466,0.0
8.8047,33.8744,0.0
8.7041,33.9004,0.0
19.6517,77.5488,0.0
21.3487,85.3711,0.0
28.7664,116.5011,0.0
19.4068,79.6704,0.0
8.1765,34.0315,0.0
20.9963,88.5446,0.0
22.5394,96.4001,0.0
7.8614,34.1057,0.0
7.7602,34.1289,0.0
24.4893,109.2899,0.0
19.4029,87.8836,0.0
19.9928,91.8493,0.0
18.0272,84.0894,0.0
19.8284,93.9299,0.0
7.1275,34.2666,0.0
21.661,105.8055,0.0
19.9461,99.0109,0.0
17.9011,90.2416,0.0
11.4897,58.8896,0.0
14.8844,77.5851,0.0
15.5816,82.5422,0.0
18.0583,97.3391,0.0
14.3454,78.7033,0.0
6.1739,34.4512,0.0
13.8644,78.7895,0.0
17.1912,99.5262,0.0
5.855,34.5068,0.0
16.9112,101.6022,0.0
10.4707,64.1511,0.0
11.7037,73.0686,0.0
5.4269,34.5767,0.0
5.3183,34.5936,0.0
17.137,113.716,0.0
11.5269,78.1545,0.0
10.5673,73.2416,0.0
11.8885,84.1645,0.0
4.7864,34.6712,0.0
10.9585,81.2645,0.0
4.5745,34.6998,0.0
9.5688,74.3871,0.0
10.9531,87.3157,0.0
10.3294,84.37,0.0
4.1441,34.7538,0.0
9.9144,85.4266,0.0
7.4142,65.5822,0.0
9.0648,82.5035,0.0
10.1847,95.4582,0.0
8.0449,77.584,0.0
8.6012,85.5688,0.0
6.7822,69.6707,0.0
6.7633,71.6816,0.0
6.5381,71.7025,0.0
5.3483,60.7651,0.0
2.9652,34.8742,0.0
6.0377,73.7533,0.0
2.7461,34.8921,0.0
4.6811,61.823,0.0
6.5855,90.7614,0.0
4.6387,66.8392,0.0
5.8321,87.8065,0.0
4.8617,76.8464,0.0
2.1001,34.9369,0.0
4.107,71.8828,0.0
3.8811,71.8953,0.0
3.6045,70.9084,0.0
3.7287,77.9108,0.0
1.5633,34.9651,0.0
2.9899,71.9379,0.0
2.6222,67.9494,0.0
2.4087,67.9573,0.0
1.5819,48.9745,0.0
2.5213,85.963,0.0
1.5444,58.9798,0.0
1.5087,64.9825,0.0
1.5855,78.9841,0.0
1.185,69.99,0.0
0.8377,59.9942,0.0
0.606,55.9967,0.0
0.407,52.9984,0.0
0.2639,55.9994,0.0
0.0958,60.9999,0.0
-0.1162,73.9999,0.0
-0.3176,69.9993,0.0
-0.6297,81.9976,0.0
-0.606,55.9967,0.0
-1.1168,80.9923,0.0
-0.948,55.992,0.0
-1.0035,49.9899,0.0
-1.1979,51.9862,0.0
-1.8324,69.976,0.0
-1.9643,66.9712,0.0
-1.8724,57.9698,0.0
-2.1608,60.9617,0.0
-2.3137,59.9554,0.0
-2.5747,61.9465,0.0
-2.9033,64.9351,0.0
-3.5853,74.9143,0.0
-3.0968,60.9213,0.0
-3.1265,57.9157,0.0
-2.6809,46.9235,0.0
-4.2602,70.8721,0.0
-4.1672,65.8683,0.0
-5.3682,80.8219,0.0
-5.0541,72.8248,0.0
-4.9934,68.8191,0.0
-5.2096,68.8031,0.0
-4.8645,61.8089,0.0
-4.6507,56.81,0.0
-4.9138,57.7915,0.0
-5.699,64.7497,0.0
-4.9944,54.7728,0.0
-5.9179,62.7214,0.0
-6.0071,61.7083,0.0
-5.5008,54.7242,0.0
-7.5292,72.6107,0.0
-6.3654,59.6614,0.0
-6.5528,59.6411,0.0
-6.4032,56.6392,0.0
-5.9948,51.6533,0.0
-5.8018,48.6553,0.0
-8.2636,67.496,0.0
-8.5883,68.4634,0.0
-8.1654,63.477,0.0
-8.8875,67.4167,0.0
-7.6175,56.4887,0.0
-7.3847,53.4927,0.0
-7.4128,52.479,0.0
-7.7113,53.4466,0.0
-6.4201,43.5291,0.0
-7.3019,48.4529,0.0
-6.6858,43.4891,0.0
-6.9775,44.4558,0.0
-6.1682,38.5091,0.0
-8.6987,53.2948,0.0
-7.06,42.4165,0.0
-6.1895,36.4786,0.0
-10.0424,58.1391,0.0
-7.7987,44.3191,0.0
-9.5255,53.1532,0.0
-8.9659,49.1896,0.0
-11.1268,59.9766,0.0
-10.0167,53.0628,0.0
-9.0437,47.1403,0.0
-10.5322,53.9822,0.0
-8.5614,43.159,0.0
-6.912,34.3107,0.0
-8.8249,43.1059,0.0
-8.9602,43.078,0.0
-8.2618,39.1375,0.0
-11.3194,52.8003,0.0
-11.4852,52.7645,0.0
-10.1326,45.8948,0.0
-9.6208,42.9353,0.0
-9.9773,43.88,0.0
-12.129,52.6202,0.0
-8.6515,37.002,0.0
-11.075,46.7049,0.0
-12.148,50.5611,0.0
-12.3068,50.5227,0.0
-8.8696,35.9212,0.0
-11.4022,45.596,0.0
-12.2823,48.468,0.0
-9.4502,36.8062,0.0
-9.3078,35.8101,0.0
-10.1841,38.6818,0.0
-12.6243,47.3458,0.0
-13.5462,50.2046,0.0
-12.6497,46.3032,0.0
-13.0617,47.227,0.0
-12.9324,46.225,0.0
-10.8979,38.4868,0.0
-9.366,32.6845,0.0
-10.8545,37.459,0.0
-9.2841,31.6671,0.0
-12.7958,43.1424,0.0
-12.9237,43.1043,0.0
-9.5766,31.5799,0.0
-10.2622,33.4617,0.0
-15.0981,48.7139,0.0
-11.3636,36.2611,0.0
-11.7794,37.1786,0.0
-15.5481,48.5722,0.0
-10.7749,33.3002,0.0
-11.5012,35.1671,0.0
-16.624,50.3254,0.0
-13.6156,40.7874,0.0
-9.5886,28.4264,0.0
-11.9299,35.0239,0.0
-14.3177,41.6053,0.0
-11.1647,32.1146,0.0
-16.8898,48.1221,0.0
-11.6948,32.9884,0.0
-10.1129,28.2441,0.0
-15.9747,44.2019,0.0
-10.2852,28.1818,0.0
-12.7942,34.7175,0.0
-12.8972,34.6794,0.0
-12.303,32.7664,0.0
-11.3425,29.9223,0.0
-12.5029,32.6906,0.0
-14.4064,37.3156,0.0
-15.9759,40.9972,0.0
-14.2682,36.2963,0.0
-12.9071,32.5332,0.0
-21.9298,54.773,0.0
-14.9778,37.09,0.0
-15.8489,38.8949,0.0
-14.8303,36.0703,0.0
-12.6392,30.4836,0.0
-13.1208,31.3663,0.0
-18.2737,43.3021,0.0
-13.7037,32.2057,0.0
-13.8048,32.1625,0.0
-15.0977,34.872,0.0
-14.001,32.0776,0.0
-14.1017,32.0334,0.0
-15.8192,35.6476,0.0
-13.4802,30.1212,0.0
-14.3974,31.9016,0.0
-14.078,30.9485,0.0
-14.592,31.8131,0.0
-12.5931,27.2289,0.0
-19.8556,42.5999,0.0
-14.8857,31.6767,0.0
-14.9851,31.6298,0.0
-18.9563,39.7071,0.0
-15.1781,31.5377,0.0
-22.2609,45.8852,0.0
-17.5662,35.9364,0.0
-15.4691,31.3959,0.0
-15.5677,31.3472,0.0
-15.6606,31.3009,0.0
-15.7589,31.2515,0.0
-15.857,31.2019,0.0
-14.5824,28.4843,0.0
-16.0473,31.1044,0.0
-17.5288,33.7156,0.0
-18.0927,34.5493,0.0
-25.6682,48.643,0.0
-16.4315,30.9032,0.0
-17.4673,32.6174,0.0
-16.62,30.8022,0.0
-20.5376,37.7784,0.0
-16.8078,30.7001,0.0
-16.4212,29.7715,0.0
-16.0289,28.8457,0.0
-17.0911,30.5433,0.0
-25.5349,45.2987,0.0
-17.2827,30.4353,0.0
-17.3729,30.3839,0.0
-17.4682,30.3292,0.0
-17.5634,30.2742,0.0
-17.6532,30.2219,0.0
-17.7481,30.1663,0.0
-17.8427,30.1104,0.0
-17.932,30.0573,0.0
-28.3271,47.1442,0.0
-18.1205,29.9441,0.0
-18.2093,29.8902,0.0
-18.3031,29.8328,0.0
-18.3967,29.7752,0.0
-18.485,29.7205,0.0
-18.5782,29.6622,0.0
-18.6713,29.6037,0.0
-18.7591,29.5482,0.0
-18.8518,29.4891,0.0
-18.9444,29.4298,0.0
-19.0316,29.3734,0.0
-19.1238,29.3135,0.0
-19.2158,29.2533,0.0
-19.3025,29.1961,0.0
-19.3941,29.1353,0.0
-19.4856,29.0743,0.0
-19.5718,29.0163,0.0
-19.6628,28.9547,0.0
-19.7537,28.8928,0.0
-19.8393,28.834,0.0
-19.9298,28.7716,0.0
-20.0201,28.7088,0.0
-20.1052,28.6493,0.0
-20.1951,28.586,0.0
-20.2848,28.5224,0.0
-25.0252,34.9677,0.0
-20.4587,28.3979,0.0
-20.5478,28.3335,0.0
-20.6317,28.2724,0.0
-20.7205,28.2075,0.0
-20.809,28.1423,0.0
-20.8924,28.0804,0.0
-20.9805,28.0146,0.0
-21.0684,27.9486,0.0
-21.1512,27.8859,0.0
-21.2387,27.8193,0.0
-21.326,27.7525,0.0
-21.4083,27.6891,0.0
-21.4952,27.6217,0.0
-21.5818,27.554,0.0
-21.6635,27.4899,0.0
-21.7497,27.4217,0.0
-19.9641,25.0087,0.0
-21.9168,27.2883,0.0
-22.0025,27.2193,0.0
-20.8257,25.5986,0.0
-22.1683,27.0844,0.0
-22.2533,27.0146,0.0
-22.3381,26.9446,0.0
-22.4179,26.8782,0.0
-22.5022,26.8076,0.0
-22.5864,26.7368,0.0
-22.6656,26.6697,0.0
-22.7493,26.5983,0.0
-22.8327,26.5267,0.0
-22.9113,26.4589,0.0
-22.9943,26.3868,0.0
-23.0771,26.3144,0.0
-23.1551,26.2458,0.0
-23.2374,26.1729,0.0
-23.3195,26.0998,0.0
-23.3969,26.0305,0.0
-23.4785,25.9569,0.0
-23.56,25.883,0.0
-23.6366,25.813,0.0
-23.7176,25.7386,0.0
-23.7984,25.6639,0.0
-23.8744,25.5932,0.0
-23.9547,25.5181,0.0
-24.0347,25.4427,0.0
-24.1101,25.3713,0.0
-24.1897,25.2954,0.0
-24.2691,25.2193,0.0
-24.3438,25.1472,0.0
-24.4227,25.0706,0.0
-24.5013,24.9937,0.0
-24.5754,24.9209,0.0
-24.6535,24.8436,0.0
-24.7315,24.766,0.0
-24.8048,24.6925,0.0
-24.8823,24.6145,0.0
-99.8379,98.1447,0.0
-25.0322,24.462,0.0
-25.1089,24.3833,0.0
-25.1854,24.3043,0.0
-25.2574,24.2294,0.0
-25.3334,24.15,0.0
-25.4091,24.0702,0.0
-25.4804,23.9947,0.0
-25.5557,23.9146,0.0
-25.6307,23.8342,0.0
-25.7013,23.758,0.0
-25.7758,23.6772,0.0
-25.8501,23.5961,0.0
-25.92,23.5193,0.0
-25.9937,23.4377,0.0
-26.0672,23.3559,0.0
-26.1364,23.2785,0.0
-26.2094,23.1963,0.0
-26.2821,23.1138,0.0
-26.3506,23.0357,0.0
-26.4228,22.9528,0.0
-26.4948,22.8697,0.0
-26.5626,22.791,0.0
-26.634,22.7074,0.0
-26.7052,22.6237,0.0
-26.7722,22.5443,0.0
-26.8429,22.4601,0.0
-26.9134,22.3757,0.0
-26.9796,22.2957,0.0
-27.0496,22.2108,0.0
-27.1192,22.1258,0.0
-27.1847,22.0452,0.0
-27.2538,21.9597,0.0
-27.3227,21.874,0.0
-27.3875,21.7928,0.0
-27.4558,21.7066,0.0
-27.5239,21.6203,0.0
-27.5879,21.5385,0.0
-29.2357,22.6776,0.0
-27.7227,21.3648,0.0
-27.7859,21.2824,0.0
-27.8527,21.195,0.0
-27.9191,21.1074,0.0
-27.9816,21.0245,0.0
-62.5059,46.6584,0.0
-28.1132,20.8482,0.0
-112.6996,83.059,0.0
-28.24,20.6761,0.0
-28.3048,20.5873,0.0
-28.3658,20.5032,0.0
-28.4301,20.414,0.0
-28.494,20.3246,0.0
-28.5542,20.24,0.0
-28.6177,20.1502,0.0
-28.6773,20.0652,0.0
-28.7402,19.975,0.0
-28.8028,19.8846,0.0
-28.8617,19.799,0.0
-28.9238,19.7083,0.0
-28.9855,19.6173,0.0
-29.0436,19.5312,0.0
-29.1048,19.4399,0.0
-29.1658,19.3483,0.0
-29.223,19.2617,0.0
-29.2834,19.1698,0.0
-48.6263,31.6145,0.0
-29.4,18.9906,0.0
-29.4595,18.8981,0.0
-29.5187,18.8055,0.0
-29.5744,18.7178,0.0
-88.0524,55.3423,0.0
-29.6914,18.5316,0.0
-82.4396,51.1147,0.0
-29.804,18.3499,0.0
-29.8615,18.2562,0.0
-29.9156,18.1675,0.0
-29.9725,18.0734,0.0
-93.5193,55.9923,0.0
-95.404,56.7369,0.0
-30.1384,17.7954,0.0
-75.9167,44.5045,0.0
-86.4187,50.3171,0.0
-96.0997,55.5503,0.0
-30.3566,17.4206,0.0
-30.4082,17.3304,0.0
-30.4624,17.2348,0.0
-122.0658,68.5562,0.0
-111.7885,62.3485,0.0
-111.9838,61.997,0.0
-30.6737,16.856,0.0
-100.9488,55.0848,0.0
-115.1904,62.3872,0.0
-113.6242,61.0781,0.0
-127.9203,68.2744,0.0
-30.9289,16.3829,0.0
-122.1507,64.2122,0.0
-105.4967,55.0586,0.0
-31.0792,16.0961,0.0
-120.9606,62.1653,0.0
-115.7999,59.0794,0.0
-114.2006,57.812,0.0
-123.3177,61.9415,0.0
-117.2364,58.4519,0.0
-112.0415,55.423,0.0
-114.9082,56.3924,0.0
-128.5604,62.6198,0.0
-133.2584,64.3909,0.0
-127.1478,60.9463,0.0
-130.0371,61.8575,0.0
-31.6533,14.9354,0.0
-135.8575,63.5825,0.0
-121.534,56.44,0.0
-116.261,53.5479,0.0
-120.9767,55.2598,0.0
-111.121,50.36,0.0
-108.5423,48.7808,0.0
-148.8848,66.35,0.0
-121.6428,53.7777,0.0
-129.1381,56.607,0.0
-110.0556,47.8307,0.0
-107.4421,46.3163,0.0
-32.1842,13.7543,0.0
-115.0972,48.761,0.0
-104.1782,43.7711,0.0
-104.3152,43.4436,0.0
-32.3521,13.3544,0.0
-32.3916,13.2584,0.0
-124.1724,50.3707,0.0
-102.9898,41.4016,0.0
-103.1122,41.0959,0.0
-119.9826,47.3834,0.0
-82.881,32.4306,0.0
-32.6313,12.6569,0.0
-81.2106,31.2064,0.0
-92.5232,35.2202,0.0
-94.4985,35.6515,0.0
-32.7857,12.2515,0.0
-32.824,12.1485,0.0
-131.4396,48.2041,0.0
-32.8976,11.9477,0.0
-94.0999,33.8409,0.0
-32.97,11.7466,0.0
-33.0067,11.6429,0.0
-64.1981,22.419,0.0
-132.3088,45.7643,0.0
-33.113,11.3371,0.0
-33.1484,11.233,0.0
-33.1816,11.1346,0.0
-33.2164,11.0303,0.0
-33.2509,10.9259,0.0
-33.2832,10.8272,0.0
-33.3171,10.7226,0.0
-72.4184,23.056,0.0
-33.3819,10.5189,0.0
-91.6521,28.564,0.0
-93.6526,28.865,0.0
-87.0423,26.5451,0.0
-33.5097,10.1044,0.0
-33.5413,9.9991,0.0
-87.2841,25.7388,0.0
-110.4057,32.1803,0.0
-33.6323,9.6884,0.0
-33.6609,9.5886,0.0
-120.3247,33.8671,0.0
-105.0154,29.2023,0.0
-100.2804,27.5653,0.0
-99.4014,26.9881,0.0
-116.8716,31.3375,0.0
-113.0974,29.9661,0.0
-123.8329,32.3946,0.0
-121.9976,31.5053,0.0
-114.3388,29.1658,0.0
-114.4298,28.8065,0.0
-115.4903,28.6879,0.0
-117.5173,28.8215,0.0
-122.4671,29.6279,0.0
-114.778,27.3863,0.0
-119.7256,28.1916,0.0
-115.9172,26.9108,0.0
-118.9256,27.2158,0.0
-113.1531,25.5417,0.0
-121.0419,26.923,0.0
-108.4272,23.7599,0.0
-124.1365,26.8166,0.0
-120.3077,25.5941,0.0
-119.4087,25.011,0.0
-124.3792,25.6672,0.0
-112.6993,22.888,0.0
-115.7125,23.1216,0.0
-117.743,23.1643,0.0
-116.8334,22.6043,0.0
-123.7805,23.5452,0.0
-121.884,22.81,0.0
-124.9056,22.9695,0.0
-133.8338,24.177,0.0
-114.213,20.2827,0.0
-123.1424,21.4696,0.0
-128.1376,21.926,0.0
-118.3404,19.8883,0.0
-127.2825,20.9802,0.0
-127.3478,20.5802,0.0
-120.4946,19.106,0.0
-126.483,19.6484,0.0
-130.4986,19.8526,0.0
-128.5788,19.1703,0.0
-128.6384,18.7663,0.0
-124.7368,17.7971,0.0
-130.7314,18.2568,0.0
-125.834,17.17,0.0
-126.8785,16.9067,0.0
-126.9281,16.5301,0.0
