Theta,Distance,Z
66.24,211,0
66.42,211,0
66.59,213,0
66.77,212,0
66.95,213,0
67.12,212,0
67.3,210,0
67.48,211,0
67.65,209,0
67.83,210,0
68.01,209,0
68.18,212,0
68.36,211,0
68.54,212,0
68.71,213,0
68.89,211,0
69.07,215,0
69.24,209,0
69.42,212,0
69.6,211,0
69.77,210,0
69.95,212,0
70.13,214,0
70.3,212,0
70.48,214,0
70.66,215,0
70.83,212,0
71.01,209,0
71.19,210,0
71.36,212,0
71.54,211,0
71.72,215,0
71.89,208,0
72.07,210,0
72.25,211,0
72.42,211,0
72.6,210,0
72.78,212,0
72.95,211,0
73.13,214,0
73.31,217,0
73.48,211,0
73.66,210,0
73.84,212,0
74.01,211,0
74.19,211,0
74.37,213,0
74.54,210,0
74.72,211,0
74.9,211,0
75.07,210,0
75.25,212,0
75.43,214,0
75.6,214,0
75.78,210,0
75.96,216,0
76.13,211,0
76.31,214,0
76.49,213,0
76.66,215,0
76.84,214,0
77.02,212,0
77.19,211,0
77.37,214,0
77.55,216,0
77.72,213,0
77.9,213,0
78.08,213,0
78.25,214,0
78.43,212,0
78.61,213,0
78.78,213,0
78.96,213,0
79.14,216,0
79.31,213,0
79.49,213,0
79.67,214,0
79.84,212,0
80.02,214,0
80.2,214,0
80.37,211,0
80.55,213,0
80.73,212,0
80.9,215,0
81.08,214,0
81.26,213,0
81.43,212,0
81.61,216,0
81.79,215,0
81.96,212,0
82.14,211,0
82.32,217,0
82.49,211,0
82.67,213,0
82.85,214,0
83.02,209,0
83.2,206,0
83.38,208,0
83.55,204,0
83.73,210,0
83.91,213,0
84.08,213,0
84.26,212,0
84.44,213,0
84.61,207,0
84.79,207,0
84.97,210,0
85.14,216,0
85.32,196,0
85.5,191,0
85.67,201,0
85.85,198,0
86.03,1,0
86.2,1,0
86.38,1,0
86.56,1,0
86.73,1,0
86.91,1,0
87.09,1,0
87.26,1,0
87.44,10207,0
87.62,8691,0
87.79,229,0
87.97,211,0
88.15,221,0
88.32,1,0
88.5,1,0
88.67,211,0
88.85,235,0
89.03,215,0
89.2,218,0
89.38,223,0
89.56,229,0
89.73,227,0
89.91,218,0
90.09,230,0
90.26,218,0
90.44,230,0
90.62,226,0
90.79,232,0
90.97,227,0
91.15,229,0
91.32,221,0
91.5,235,0
91.68,230,0
91.85,228,0
92.03,223,0
92.21,227,0
92.38,232,0
92.56,228,0
92.74,225,0
92.91,228,0
93.09,230,0
93.27,222,0
93.44,226,0
93.62,231,0
93.8,227,0
93.97,228,0
94.15,225,0
94.33,235,0
94.5,231,0
94.68,229,0
94.86,228,0
95.03,229,0
95.21,232,0
95.39,226,0
95.56,231,0
95.74,226,0
95.92,225,0
96.09,229,0
96.27,229,0
96.45,237,0
96.62,221,0
96.8,227,0
96.98,234,0
97.15,226,0
97.33,236,0
97.51,233,0
97.68,228,0
97.86,237,0
98.04,229,0
98.21,1,0
98.39,226,0
98.57,234,0
98.74,217,0
98.92,227,0
99.1,214,0
99.27,222,0
99.45,1,0
99.63,222,0
99.8,225,0
99.98,246,0
100.16,210,0
100.33,1,0
100.51,242,0
100.69,245,0
100.86,222,0
101.04,1,0
101.22,240,0
101.39,1,0
101.57,1,0
101.75,233,0
101.92,1,0
102.1,1,0
102.28,1,0
102.45,1,0
102.63,1,0
102.81,1,0
102.98,1,0
103.16,10306,0
103.34,1,0
103.51,9889,0
103.69,1,0
103.87,1,0
104.04,9679,0
104.22,1,0
104.4,1,0
104.57,1,0
104.75,1,0
104.93,9366,0
105.1,9848,0
105.28,8557,0
105.46,9834,0
105.63,1,0
105.81,1,0
105.99,10341,0
106.16,10081,0
106.34,1,0
106.52,9086,0
106.69,9381,0
106.87,1,0
107.05,10280,0
107.22,10114,0
107.4,1,0
107.58,10325,0
107.75,1,0
107.93,10080,0
108.11,9831,0
108.28,10058,0
108.46,10086,0
108.64,10278,0
108.81,10093,0
108.99,9657,0
109.17,1,0
109.34,9641,0
109.52,10199,0
109.7,10157,0
109.87,1,0
110.05,10143,0
110.23,9738,0
110.4,9915,0
110.58,1,0
110.76,10204,0
110.93,1,0
111.11,1,0
111.29,9591,0
111.46,1,0
111.64,9961,0
111.82,10381,0
111.99,9688,0
112.17,1,0
112.35,1,0
112.52,9665,0
112.7,9918,0
112.88,9863,0
113.05,10121,0
113.23,1,0
113.41,10150,0
113.58,9977,0
113.76,1,0
113.93,1,0
114.11,9861,0
114.29,9827,0
114.46,1,0
114.64,10076,0
114.82,9487,0
114.99,1,0
115.17,1,0
115.35,1,0
115.52,10307,0
115.7,9242,0
115.88,9415,0
116.05,1,0
116.23,9962,0
116.41,9608,0
116.58,1,0
116.76,10074,0
116.94,1,0
117.11,9841,0
117.29,1,0
117.47,10094,0
117.64,9921,0
117.82,9847,0
118,1,0
118.17,1,0
118.35,1,0
118.53,10344,0
118.7,1,0
118.88,9842,0
119.06,9607,0
119.23,1,0
119.41,1,0
119.59,1,0
119.76,8894,0
119.94,9605,0
120.12,1,0
120.29,1,0
120.47,9141,0
120.65,9389,0
120.82,1,0
121,9465,0
121.18,1,0
121.35,10161,0
121.53,9669,0
121.71,9419,0
121.88,9122,0
122.06,1,0
122.24,9898,0
122.41,10069,0
122.59,1,0
122.77,9634,0
122.94,10208,0
123.12,10372,0
123.3,1,0
123.47,10387,0
123.65,9583,0
123.83,1,0
124,10101,0
124.18,10180,0
124.36,8614,0
124.53,1,0
124.71,1,0
124.89,9687,0
125.06,1,0
125.24,1,0
125.42,1,0
125.59,10139,0
